PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27356493","Projections of cancer incidence and cancer-related deaths in Germany by 2020 and 2030","Quante AS, Ming C, Rottmann M, Engel J, Boeck S, Heinemann V, Westphalen CB, Strauch K.","Cancer Med. 2016 Sep;5(9):2649-56. doi: 10.1002/cam4.767. Epub 2016 Jun 29.","Quante AS","Cancer Med","2016","2016/07/01","PMC5055190","","10.1002/cam4.767"
"31363220","scGen predicts single-cell perturbation responses","Lotfollahi M, Wolf FA, Theis FJ.","Nat Methods. 2019 Aug;16(8):715-721. doi: 10.1038/s41592-019-0494-8. Epub 2019 Jul 29.","Lotfollahi M","Nat Methods","2019","2019/08/01","","","10.1038/s41592-019-0494-8"
"30573817","A test metric for assessing single-cell RNA-seq batch correction","Büttner M, Miao Z, Wolf FA, Teichmann SA, Theis FJ.","Nat Methods. 2019 Jan;16(1):43-49. doi: 10.1038/s41592-018-0254-1. Epub 2018 Dec 20.","Büttner M","Nat Methods","2019","2018/12/22","","","10.1038/s41592-018-0254-1"
"31427184","Short-term cold exposure supports human Treg induction in vivo","Becker M, Serr I, Salb VK, Ott VB, Mengel L, Blüher M, Weigmann B, Hauner H, Tschöp MH, Daniel C.","Mol Metab. 2019 Oct;28:73-82. doi: 10.1016/j.molmet.2019.08.002. Epub 2019 Aug 5.","Becker M","Mol Metab","2019","2019/08/21","PMC6822223","","10.1016/j.molmet.2019.08.002"
"30725173","Novel methods in adrenal research: a metabolomics approach","Papathomas TG, Sun N, Chortis V, Taylor AE, Arlt W, Richter S, Eisenhofer G, Ruiz-Babot G, Guasti L, Walch AK.","Histochem Cell Biol. 2019 Mar;151(3):201-216. doi: 10.1007/s00418-019-01772-w. Epub 2019 Feb 6.","Papathomas TG","Histochem Cell Biol","2019","2019/02/07","","","10.1007/s00418-019-01772-w"
"29246441","Roquin Suppresses the PI3K-mTOR Signaling Pathway to Inhibit T Helper Cell Differentiation and Conversion of Treg to Tfr Cells","Essig K, Hu D, Guimaraes JC, Alterauge D, Edelmann S, Raj T, Kranich J, Behrens G, Heiseke A, Floess S, Klein J, Maiser A, Marschall S, Hrabĕ de Angelis M, Leonhardt H, Calkhoven CF, Noessner E, Brocker T, Huehn J, Krug AB, Zavolan M, Baumjohann D, Heissmeyer V.","Immunity. 2017 Dec 19;47(6):1067-1082.e12. doi: 10.1016/j.immuni.2017.11.008. Epub 2017 Dec 12.","Essig K","Immunity","2017","2017/12/17","","","10.1016/j.immuni.2017.11.008"
"29409532","SCANPY: large-scale single-cell gene expression data analysis","Wolf FA, Angerer P, Theis FJ.","Genome Biol. 2018 Feb 6;19(1):15. doi: 10.1186/s13059-017-1382-0.","Wolf FA","Genome Biol","2018","2018/02/08","PMC5802054","","10.1186/s13059-017-1382-0"
"26428373","The Latent Membrane Protein 1 (LMP1)","Kieser A, Sterz KR.","Curr Top Microbiol Immunol. 2015;391:119-49. doi: 10.1007/978-3-319-22834-1_4.","Kieser A","Curr Top Microbiol Immunol","2015","2015/10/03","","","10.1007/978-3-319-22834-1_4"
"31836704","miRNA142-3p targets Tet2 and impairs Treg differentiation and stability in models of type 1 diabetes","Scherm MG, Serr I, Zahm AM, Schug J, Bellusci S, Manfredini R, Salb VK, Gerlach K, Weigmann B, Ziegler AG, Kaestner KH, Daniel C.","Nat Commun. 2019 Dec 13;10(1):5697. doi: 10.1038/s41467-019-13587-3.","Scherm MG","Nat Commun","2019","2019/12/15","PMC6910913","","10.1038/s41467-019-13587-3"
"31426291","Antioxidant Versus Pro-Apoptotic Effects of Mushroom-Enriched Diets on Mitochondria in Liver Disease","Fontes A, Alemany-Pagès M, Oliveira PJ, Ramalho-Santos J, Zischka H, Azul AM.","Int J Mol Sci. 2019 Aug 16;20(16):3987. doi: 10.3390/ijms20163987.","Fontes A","Int J Mol Sci","2019","2019/08/21","PMC6720908","","10.3390/ijms20163987"
"28815360","Epidemiology in Germany-general development and personal experience","Wichmann HE.","Eur J Epidemiol. 2017 Aug;32(8):635-656. doi: 10.1007/s10654-017-0290-7. Epub 2017 Aug 16.","Wichmann HE","Eur J Epidemiol","2017","2017/08/18","","","10.1007/s10654-017-0290-7"
"32694843","Hepatic Rab24 controls blood glucose homeostasis via improving mitochondrial plasticity","Seitz S, Kwon Y, Hartleben G, Jülg J, Sekar R, Krahmer N, Najafi B, Loft A, Gancheva S, Stemmer K, Feuchtinger A, Hrabe de Angelis M, Müller TD, Mann M, Blüher M, Roden M, Berriel Diaz M, Behrends C, Gilleron J, Herzig S, Zeigerer A.","Nat Metab. 2019 Oct;1(10):1009-1026. doi: 10.1038/s42255-019-0124-x. Epub 2019 Oct 14.","Seitz S","Nat Metab","2019","2020/07/23","","","10.1038/s42255-019-0124-x"
"27720451","Chemical Hybridization of Glucagon and Thyroid Hormone Optimizes Therapeutic Impact for Metabolic Disease","Finan B, Clemmensen C, Zhu Z, Stemmer K, Gauthier K, Müller L, De Angelis M, Moreth K, Neff F, Perez-Tilve D, Fischer K, Lutter D, Sánchez-Garrido MA, Liu P, Tuckermann J, Malehmir M, Healy ME, Weber A, Heikenwalder M, Jastroch M, Kleinert M, Jall S, Brandt S, Flamant F, Schramm KW, Biebermann H, Döring Y, Weber C, Habegger KM, Keuper M, Gelfanov V, Liu F, Köhrle J, Rozman J, Fuchs H, Gailus-Durner V, Hrabě de Angelis M, Hofmann SM, Yang B, Tschöp MH, DiMarchi R, Müller TD.","Cell. 2016 Oct 20;167(3):843-857.e14. doi: 10.1016/j.cell.2016.09.014. Epub 2016 Oct 6.","Finan B","Cell","2016","2016/10/11","","","10.1016/j.cell.2016.09.014"
"29779889","Epithelial Sodium Channel Regulates Adult Neural Stem Cell Proliferation in a Flow-Dependent Manner","Petrik D, Myoga MH, Grade S, Gerkau NJ, Pusch M, Rose CR, Grothe B, Götz M.","Cell Stem Cell. 2018 Jun 1;22(6):865-878.e8. doi: 10.1016/j.stem.2018.04.016. Epub 2018 May 17.","Petrik D","Cell Stem Cell","2018","2018/05/22","","","10.1016/j.stem.2018.04.016"
"30446744","Emerging hormonal-based combination pharmacotherapies for the treatment of metabolic diseases","Clemmensen C, Finan B, Müller TD, DiMarchi RD, Tschöp MH, Hofmann SM.","Nat Rev Endocrinol. 2019 Feb;15(2):90-104. doi: 10.1038/s41574-018-0118-x.","Clemmensen C","Nat Rev Endocrinol","2019","2018/11/18","","","10.1038/s41574-018-0118-x"
"31734719","The role of Müller cell glucocorticoid signaling in diabetic retinopathy","Ghaseminejad F, Kaplan L, Pfaller AM, Hauck SM, Grosche A.","Graefes Arch Clin Exp Ophthalmol. 2020 Feb;258(2):221-230. doi: 10.1007/s00417-019-04521-w. Epub 2019 Nov 16.","Ghaseminejad F","Graefes Arch Clin Exp Ophthalmol","2020","2019/11/18","","","10.1007/s00417-019-04521-w"
"31216665","Evolutionary Steps in the Analytics of Primordial Metabolic Evolution","Geisberger T, Diederich P, Steiner T, Eisenreich W, Schmitt-Kopplin P, Huber C.","Life (Basel). 2019 Jun 18;9(2):50. doi: 10.3390/life9020050.","Geisberger T","Life (Basel)","2019","2019/06/21","PMC6616974","","10.3390/life9020050"
"30919050","Mouse models for microphthalmia, anophthalmia and cataracts","Graw J.","Hum Genet. 2019 Sep;138(8-9):1007-1018. doi: 10.1007/s00439-019-01995-w. Epub 2019 Mar 27.","Graw J","Hum Genet","2019","2019/03/29","PMC6710221","","10.1007/s00439-019-01995-w"
"28559417","The FTD-like syndrome causing TREM2 T66M mutation impairs microglia function, brain perfusion, and glucose metabolism","Kleinberger G, Brendel M, Mracsko E, Wefers B, Groeneweg L, Xiang X, Focke C, Deußing M, Suárez-Calvet M, Mazaheri F, Parhizkar S, Pettkus N, Wurst W, Feederle R, Bartenstein P, Mueggler T, Arzberger T, Knuesel I, Rominger A, Haass C.","EMBO J. 2017 Jul 3;36(13):1837-1853. doi: 10.15252/embj.201796516. Epub 2017 May 30.","Kleinberger G","EMBO J","2017","2017/06/01","PMC5494459","","10.15252/embj.201796516"
"31089867","Modifying effect of metabotype on diet-diabetes associations","Riedl A, Wawro N, Gieger C, Meisinger C, Peters A, Rathmann W, Koenig W, Strauch K, Quante AS, Thorand B, Huth C, Daniel H, Hauner H, Linseisen J.","Eur J Nutr. 2020 Jun;59(4):1357-1369. doi: 10.1007/s00394-019-01988-5. Epub 2019 May 14.","Riedl A","Eur J Nutr","2020","2019/05/16","PMC7230059","","10.1007/s00394-019-01988-5"
"30705134","The Systems Architecture of Molecular Memory in Poplar after Abiotic Stress","Georgii E, Kugler K, Pfeifer M, Vanzo E, Block K, Domagalska MA, Jud W, AbdElgawad H, Asard H, Reinhardt R, Hansel A, Spannagl M, Schäffner AR, Palme K, Mayer KFX, Schnitzler JP.","Plant Cell. 2019 Feb;31(2):346-367. doi: 10.1105/tpc.18.00431. Epub 2019 Jan 31.","Georgii E","Plant Cell","2019","2019/02/02","PMC6447019","","10.1105/tpc.18.00431"
"28110470","Thermal Control, Weather, and Aging","Schneider A, Rückerl R, Breitner S, Wolf K, Peters A.","Curr Environ Health Rep. 2017 Mar;4(1):21-29. doi: 10.1007/s40572-017-0129-0.","Schneider A","Curr Environ Health Rep","2017","2017/01/23","","","10.1007/s40572-017-0129-0"
"30087160","Anti-Obesity Therapy: from Rainbow Pills to Polyagonists","Müller TD, Clemmensen C, Finan B, DiMarchi RD, Tschöp MH.","Pharmacol Rev. 2018 Oct;70(4):712-746. doi: 10.1124/pr.117.014803.","Müller TD","Pharmacol Rev","2018","2018/08/09","","","10.1124/pr.117.014803"
"31358011","Connecting lysosomes and mitochondria - a novel role for lipid metabolism in cancer cell death","Bartel K, Pein H, Popper B, Schmitt S, Janaki-Raman S, Schulze A, Lengauer F, Koeberle A, Werz O, Zischka H, Müller R, Vollmar AM, von Schwarzenberg K.","Cell Commun Signal. 2019 Jul 29;17(1):87. doi: 10.1186/s12964-019-0399-2.","Bartel K","Cell Commun Signal","2019","2019/07/31","PMC6664539","","10.1186/s12964-019-0399-2"
"29412819","Gut hormone polyagonists for the treatment of type 2 diabetes","Brandt SJ, Götz A, Tschöp MH, Müller TD.","Peptides. 2018 Feb;100:190-201. doi: 10.1016/j.peptides.2017.12.021.","Brandt SJ","Peptides","2018","2018/02/08","PMC5805859","","10.1016/j.peptides.2017.12.021"
"31730877","Does traffic proximity at home and school influence asthma exacerbations?","Fuertes E, Heinrich J.","J Allergy Clin Immunol. 2020 Jan;145(1):100-102. doi: 10.1016/j.jaci.2019.10.032. Epub 2019 Nov 12.","Fuertes E","J Allergy Clin Immunol","2020","2019/11/16","","","10.1016/j.jaci.2019.10.032"
"31167355","pH-Dependent Conformational Changes of KcsA Tetramer and Monomer Probed by Raman Spectroscopy","Kniggendorf AK, Schmidt D, Roth B, Plettenburg O, Zeilinger C.","Int J Mol Sci. 2019 Jun 4;20(11):2736. doi: 10.3390/ijms20112736.","Kniggendorf AK","Int J Mol Sci","2019","2019/06/07","PMC6601014","","10.3390/ijms20112736"
"30972779","We are still confused but on a higher level","Wjst M.","Allergy. 2019 Nov;74(11):2052-2053. doi: 10.1111/all.13819.","Wjst M","Allergy","2019","2019/04/12","","","10.1111/all.13819"
"30888231","Big data in radiation biology and epidemiology; an overview of the historical and contemporary landscape of data and biomaterial archives","Schofield PN, Kulka U, Tapio S, Grosche B.","Int J Radiat Biol. 2019 Jul;95(7):861-878. doi: 10.1080/09553002.2019.1589026. Epub 2019 Apr 8.","Schofield PN","Int J Radiat Biol","2019","2019/03/20","","","10.1080/09553002.2019.1589026"
"30232567","Enteroviral Infections as a Trigger for Type 1 Diabetes","Rodriguez-Calvo T.","Curr Diab Rep. 2018 Sep 19;18(11):106. doi: 10.1007/s11892-018-1077-2.","Rodriguez-Calvo T","Curr Diab Rep","2018","2018/09/21","","","10.1007/s11892-018-1077-2"
"31124109","LC-MS/MS-Based Metabolomics for Cell Cultures","Artati A, Prehn C, Adamski J.","Methods Mol Biol. 2019;1994:119-130. doi: 10.1007/978-1-4939-9477-9_10.","Artati A","Methods Mol Biol","2019","2019/05/25","","","10.1007/978-1-4939-9477-9_10"
"29383658","COPD Patients as Vulnerable Subpopulation for Exposure to Ambient Air Pollution","Heinrich J, Schikowski T.","Curr Environ Health Rep. 2018 Mar;5(1):70-76. doi: 10.1007/s40572-018-0178-z.","Heinrich J","Curr Environ Health Rep","2018","2018/02/01","","","10.1007/s40572-018-0178-z"
"26232636","Perspectives in steroid research","Adamski J.","J Steroid Biochem Mol Biol. 2015 Sep;153:1-2. doi: 10.1016/j.jsbmb.2015.07.017. Epub 2015 Jul 29.","Adamski J","J Steroid Biochem Mol Biol","2015","2015/08/02","","","10.1016/j.jsbmb.2015.07.017"
"28412522","Small non coding RNAs in adipocyte biology and obesity","Amri EZ, Scheideler M.","Mol Cell Endocrinol. 2017 Nov 15;456:87-94. doi: 10.1016/j.mce.2017.04.009. Epub 2017 Apr 12.","Amri EZ","Mol Cell Endocrinol","2017","2017/04/17","","","10.1016/j.mce.2017.04.009"
"31718940","Strengthening Causal Inference for Complex Disease Using Molecular Quantitative Trait Loci","Neumeyer S, Hemani G, Zeggini E.","Trends Mol Med. 2020 Feb;26(2):232-241. doi: 10.1016/j.molmed.2019.10.004. Epub 2019 Nov 9.","Neumeyer S","Trends Mol Med","2020","2019/11/14","","","10.1016/j.molmed.2019.10.004"
"31119449","Vertigo and dizziness cause considerable more health care resource use and costs: results from the KORA FF4 study","Wang X, Strobl R, Holle R, Seidl H, Peters A, Grill E.","J Neurol. 2019 Sep;266(9):2120-2128. doi: 10.1007/s00415-019-09386-x. Epub 2019 May 22.","Wang X","J Neurol","2019","2019/05/24","","","10.1007/s00415-019-09386-x"
"28780001","Endocrinology Meets Metabolomics: Achievements, Pitfalls, and Challenges","Tokarz J, Haid M, Cecil A, Prehn C, Artati A, Möller G, Adamski J.","Trends Endocrinol Metab. 2017 Oct;28(10):705-721. doi: 10.1016/j.tem.2017.07.001. Epub 2017 Aug 2.","Tokarz J","Trends Endocrinol Metab","2017","2017/08/07","","","10.1016/j.tem.2017.07.001"
"30621670","Predicting patient-reported outcomes following hip and knee replacement surgery using supervised machine learning","Huber M, Kurz C, Leidl R.","BMC Med Inform Decis Mak. 2019 Jan 8;19(1):3. doi: 10.1186/s12911-018-0731-6.","Huber M","BMC Med Inform Decis Mak","2019","2019/01/10","PMC6325823","","10.1186/s12911-018-0731-6"
"30262318","Aqueous humor selenium level and open-angle glaucoma","Jünemann AGM, Michalke B, Lucio M, Chaudhri A, Schlötzer-Schrehardt U, Rejdak R, Rękas M, Hohberger B.","J Trace Elem Med Biol. 2018 Dec;50:67-72. doi: 10.1016/j.jtemb.2018.06.010. Epub 2018 Jun 19.","Jünemann AGM","J Trace Elem Med Biol","2018","2018/09/29","","","10.1016/j.jtemb.2018.06.010"
"31875295","Assessment of German population exposure levels to PM10 based on multiple spatial-temporal data","Liu X, Huang H, Jiang Y, Wang T, Xu Y, Abbaszade G, Schnelle-Kreis J, Zimmermann R.","Environ Sci Pollut Res Int. 2020 Feb;27(6):6637-6648. doi: 10.1007/s11356-019-07071-0. Epub 2019 Dec 24.","Liu X","Environ Sci Pollut Res Int","2020","2019/12/26","","","10.1007/s11356-019-07071-0"
"30910195","Levels of serum trace elements in patients with primary open-angle glaucoma","Fick A, Jünemann A, Michalke B, Lucio M, Hohberger B.","J Trace Elem Med Biol. 2019 May;53:129-134. doi: 10.1016/j.jtemb.2019.02.006. Epub 2019 Feb 15.","Fick A","J Trace Elem Med Biol","2019","2019/03/27","","","10.1016/j.jtemb.2019.02.006"
"29997057","Mitochondrial copper homeostasis and its derailment in Wilson disease","Zischka H, Einer C.","Int J Biochem Cell Biol. 2018 Sep;102:71-75. doi: 10.1016/j.biocel.2018.07.001. Epub 2018 Jul 8.","Zischka H","Int J Biochem Cell Biol","2018","2018/07/13","","","10.1016/j.biocel.2018.07.001"
"31845114","HYPOTHesizing about central comBAT against obesity","González-García I, Milbank E, Martinez-Ordoñez A, Diéguez C, López M, Contreras C.","J Physiol Biochem. 2020 May;76(2):193-211. doi: 10.1007/s13105-019-00719-y. Epub 2019 Dec 16.","González-García I","J Physiol Biochem","2020","2019/12/18","","","10.1007/s13105-019-00719-y"
"31454800","Selenium and Other Trace Elements in the Etiology of Parkinson's Disease: A Systematic Review and Meta-Analysis of Case-Control Studies","Adani G, Filippini T, Michalke B, Vinceti M.","Neuroepidemiology. 2020;54(1):1-23. doi: 10.1159/000502357. Epub 2019 Aug 27.","Adani G","Neuroepidemiology","2020","2019/08/28","","","10.1159/000502357"
"26768238","Advancing Surgical Vision with Fluorescence Imaging","Koch M, Ntziachristos V.","Annu Rev Med. 2016;67:153-64. doi: 10.1146/annurev-med-051914-022043.","Koch M","Annu Rev Med","2016","2016/01/16","","","10.1146/annurev-med-051914-022043"
"30068349","Valuing health-related quality of life: systematic variation in health perception","Huber M, Vogelmann M, Leidl R.","Health Qual Life Outcomes. 2018 Aug 2;16(1):156. doi: 10.1186/s12955-018-0986-8.","Huber M","Health Qual Life Outcomes","2018","2018/08/03","PMC6090681","","10.1186/s12955-018-0986-8"
"30866912","Understanding complexity - the palliative care situation as a complex adaptive system","Hodiamont F, Jünger S, Leidl R, Maier BO, Schildmann E, Bausewein C.","BMC Health Serv Res. 2019 Mar 12;19(1):157. doi: 10.1186/s12913-019-3961-0.","Hodiamont F","BMC Health Serv Res","2019","2019/03/15","PMC6417077","","10.1186/s12913-019-3961-0"
"30744114","Dynamics of Hydrology and Anaerobic Hydrocarbon Degrader Communities in A Tar-Oil Contaminated Aquifer","Pilloni G, Bayer A, Ruth-Anneser B, Fillinger L, Engel M, Griebler C, Lueders T.","Microorganisms. 2019 Feb 9;7(2):46. doi: 10.3390/microorganisms7020046.","Pilloni G","Microorganisms","2019","2019/02/13","PMC6406676","","10.3390/microorganisms7020046"
"30478736","Regulatory Small and Long Noncoding RNAs in Brite/Brown Adipose Tissue","Scheideler M.","Handb Exp Pharmacol. 2019;251:215-237. doi: 10.1007/164_2018_123.","Scheideler M","Handb Exp Pharmacol","2019","2018/11/28","","","10.1007/164_2018_123"
"30890159","PAGA: graph abstraction reconciles clustering with trajectory inference through a topology preserving map of single cells","Wolf FA, Hamey FK, Plass M, Solana J, Dahlin JS, Göttgens B, Rajewsky N, Simon L, Theis FJ.","Genome Biol. 2019 Mar 19;20(1):59. doi: 10.1186/s13059-019-1663-x.","Wolf FA","Genome Biol","2019","2019/03/21","PMC6425583","","10.1186/s13059-019-1663-x"
"29848610","Are peptide conjugates the golden therapy against obesity?","Brandt SJ, Kleinert M, Tschöp MH, Müller TD.","J Endocrinol. 2018 Aug;238(2):R109-R119. doi: 10.1530/JOE-18-0264. Epub 2018 May 30.","Brandt SJ","J Endocrinol","2018","2018/06/01","PMC6026923","","10.1530/JOE-18-0264"
"27956142","Herpesviruses and Their Host Cells: A Successful Liaison","Adler B, Sattler C, Adler H.","Trends Microbiol. 2017 Mar;25(3):229-241. doi: 10.1016/j.tim.2016.11.009. Epub 2016 Dec 9.","Adler B","Trends Microbiol","2017","2016/12/14","","","10.1016/j.tim.2016.11.009"
